" """"",Channel A Last (mV),Channel A Ave. (mV),Channel A Min. (mV),Channel A Max. (mV)
00:04:09,52.819,52.819,52.819,52.819
00:04:10,46.132,46.132,46.132,46.132
00:04:11,52.962,52.962,52.962,52.962
00:04:12,49.57,49.57,49.57,49.57
00:04:13,62.106,62.106,62.106,62.106
00:04:14,52.819,52.819,52.819,52.819
00:04:15,53.573,53.573,53.573,53.573
00:04:16,52.543,52.543,52.543,52.543
00:04:17,56.101,56.101,56.101,56.101
00:04:18,45.001,45.001,45.001,45.001
00:04:19,54.106,54.106,54.106,54.106
00:04:20,60.292,60.292,60.292,60.292
00:04:21,58.381,58.381,58.381,58.381
00:04:22,55.725,55.725,55.725,55.725
00:04:23,46.251,46.251,46.251,46.251
00:04:24,62.035,62.035,62.035,62.035
00:04:25,53.949,53.949,53.949,53.949
00:04:26,52.803,52.803,52.803,52.803
00:04:27,53.008,53.008,53.008,53.008
00:04:28,51.058,51.058,51.058,51.058
00:04:29,51.093,51.093,51.093,51.093
00:04:30,52.633,52.633,52.633,52.633
00:04:31,50.289,50.289,50.289,50.289
00:04:32,40.349,40.349,40.349,40.349
00:04:33,47.501,47.501,47.501,47.501
00:04:34,48.191,48.191,48.191,48.191
00:04:35,38.511,38.511,38.511,38.511
00:04:36,47.392,47.392,47.392,47.392
00:04:37,55.261,55.261,55.261,55.261
00:04:38,38.712,38.712,38.712,38.712
00:04:39,46.361,46.361,46.361,46.361
00:04:40,36.395,36.395,36.395,36.395
00:04:41,54.301,54.301,54.301,54.301
00:04:42,37.449,37.449,37.449,37.449
00:04:43,54.148,54.148,54.148,54.148
00:04:44,56.114,56.114,56.114,56.114
00:04:45,58.232,58.232,58.232,58.232
00:04:46,38.787,38.787,38.787,38.787
00:04:47,63.277,63.277,63.277,63.277
00:04:48,43.318,43.318,43.318,43.318
00:04:49,61.223,61.223,61.223,61.223
00:04:50,46.049,46.049,46.049,46.049
00:04:51,64.41,64.41,64.41,64.41
00:04:52,37.304,37.304,37.304,37.304
00:04:53,43.786,43.786,43.786,43.786
00:04:54,53.912,53.912,53.912,53.912
00:04:55,61.053,61.053,61.053,61.053
00:04:56,48.904,48.904,48.904,48.904
00:04:57,72.497,72.497,72.497,72.497
00:04:58,44.644,44.644,44.644,44.644
00:04:59,68.99,68.99,68.99,68.99
00:05:00,48.118,48.118,48.118,48.118
00:05:01,64.41,64.41,64.41,64.41
00:05:02,57.012,57.012,57.012,57.012
00:05:03,74.693,74.693,74.693,74.693
00:05:04,53.379,53.379,53.379,53.379
00:05:05,61.505,61.505,61.505,61.505
00:05:06,55.529,55.529,55.529,55.529
00:05:07,58.015,58.015,58.015,58.015
00:05:08,45.323,45.323,45.323,45.323
00:05:09,60.658,60.658,60.658,60.658
00:05:10,54.301,54.301,54.301,54.301
00:05:11,52.946,52.946,52.946,52.946
00:05:12,44.865,44.865,44.865,44.865
00:05:13,58.938,58.938,58.938,58.938
00:05:14,38.805,38.805,38.805,38.805
00:05:15,57.85,57.85,57.85,57.85
00:05:16,46.454,46.454,46.454,46.454
00:05:17,49.795,49.795,49.795,49.795
00:05:18,41.577,41.577,41.577,41.577
00:05:19,51.223,51.223,51.223,51.223
00:05:20,35.784,35.784,35.784,35.784
00:05:21,60.531,60.531,60.531,60.531
00:05:22,44.644,44.644,44.644,44.644
00:05:23,52.999,52.999,52.999,52.999
00:05:24,39.84,39.84,39.84,39.84
00:05:25,51.29,51.29,51.29,51.29
00:05:26,43.639,43.639,43.639,43.639
00:05:27,52.371,52.371,52.371,52.371
00:05:28,41.733,41.733,41.733,41.733
00:05:29,52.085,52.085,52.085,52.085
00:05:30,47.135,47.135,47.135,47.135
00:05:31,58.789,58.789,58.789,58.789
00:05:32,46.617,46.617,46.617,46.617
00:05:33,46.1,46.1,46.1,46.1
00:05:34,46.544,46.544,46.544,46.544
00:05:35,53.592,53.592,53.592,53.592
00:05:36,37.903,37.903,37.903,37.903
00:05:37,44.775,44.775,44.775,44.775
00:05:38,38.805,38.805,38.805,38.805
00:05:39,56.061,56.061,56.061,56.061
00:05:40,45.75,45.75,45.75,45.75
00:05:41,46.361,46.361,46.361,46.361
00:05:42,55.283,55.283,55.283,55.283
00:05:43,53.292,53.292,53.292,53.292
00:05:44,49.501,49.501,49.501,49.501
00:05:45,37.304,37.304,37.304,37.304
00:05:46,45.503,45.503,45.503,45.503
00:05:47,46.145,46.145,46.145,46.145
00:05:48,45.014,45.014,45.014,45.014
00:05:49,32.802,32.802,32.802,32.802
00:05:50,47.862,47.862,47.862,47.862
00:05:51,44.644,44.644,44.644,44.644
00:05:52,61.143,61.143,61.143,61.143
00:05:53,52.639,52.639,52.639,52.639
00:05:54,51.009,51.009,51.009,51.009
00:05:55,43.318,43.318,43.318,43.318
00:05:56,55.943,55.943,55.943,55.943
00:05:57,45.615,45.615,45.615,45.615
00:05:58,59.842,59.842,59.842,59.842
00:05:59,34.867,34.867,34.867,34.867
00:06:00,57.242,57.242,57.242,57.242
00:06:01,34.266,34.266,34.266,34.266
00:06:02,47.601,47.601,47.601,47.601
00:06:03,29.223,29.223,29.223,29.223
00:06:04,42.231,42.231,42.231,42.231
00:06:05,44.644,44.644,44.644,44.644
00:06:06,52.085,52.085,52.085,52.085
00:06:07,45.014,45.014,45.014,45.014
00:06:08,49.501,49.501,49.501,49.501
00:06:09,32.377,32.377,32.377,32.377
00:06:10,42.069,42.069,42.069,42.069
00:06:11,41.577,41.577,41.577,41.577
00:06:12,43.979,43.979,43.979,43.979
00:06:13,39.306,39.306,39.306,39.306
00:06:14,50.977,50.977,50.977,50.977
00:06:15,40.73,40.73,40.73,40.73
00:06:16,51.54,51.54,51.54,51.54
00:06:17,43.056,43.056,43.056,43.056
00:06:18,35.095,35.095,35.095,35.095
00:06:19,52.085,52.085,52.085,52.085
00:06:20,39.429,39.429,39.429,39.429
