type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-05-19T18:49:28.307976723,  26.501231,  87.657008,   7339, 15029,   9,   2,   0, 2024-05-19T18:49:28.307976723, 2024-05-19T18:49:28.354488373, 0.046512,  26.487456,  26.501231,  87.653715,  87.657008  
 1, 2024-05-19T18:49:31.659416199,  26.415722,  88.060256,   3669, 9272,   5,   1,   0, 2024-05-19T18:49:31.659416199, 2024-05-19T18:49:31.659416199, 0.000000,  26.415722,  26.415722,  88.060256,  88.060256  
 1, 2024-05-19T18:49:32.787596703,  26.471142,  87.635307,   3596, 12401,   7,   2,   0, 2024-05-19T18:49:32.247166395, 2024-05-19T18:49:32.787596703, 0.540430,  26.471142,  26.515841,  87.620855,  87.635307  
 1, 2024-05-19T18:49:33.929595232,  26.506520,  87.771844,   4036, 19807,   7,   1,   0, 2024-05-19T18:49:33.929595232, 2024-05-19T18:49:33.929595232, 0.000000,  26.506520,  26.506520,  87.771844,  87.771844  
 1, 2024-05-19T18:49:34.951686382,  26.512088,  87.185369,  -2313, 8589,   5,   1,   0, 2024-05-19T18:49:34.951686382, 2024-05-19T18:49:34.951686382, 0.000000,  26.512088,  26.512088,  87.185369,  87.185369  
 0, 2024-05-19T18:49:34.826930285,  26.485501,  87.657640,  -3672,    0,   6,   2,   1, 2024-05-19T18:49:34.826930285, 2024-05-19T18:49:34.956529856, 0.129600,  26.467663,  26.488726,  87.657640,  87.665419  
 1, 2024-05-19T18:49:35.131436825,  26.377310,  88.039503,   7139, 14700,   6,   1,   0, 2024-05-19T18:49:35.131436825, 2024-05-19T18:49:35.131436825, 0.000000,  26.377310,  26.377310,  88.039503,  88.039503  
 0, 2024-05-19T18:49:35.685112238,  26.501648,  87.557182, -20535,    0,  12,   0,   1, 2024-05-19T18:49:35.685112238, 2024-05-19T18:49:35.685112238, 0.000000,  26.501648,  26.501648,  87.557182,  87.557182  
 1, 2024-05-19T18:49:36.124226809,  26.512718,  87.662307,   9045, 9264,   9,   2,   0, 2024-05-19T18:49:36.106987476, 2024-05-19T18:49:36.124226809, 0.017239,  26.512718,  26.515681,  87.662307,  87.662760  
 1, 2024-05-19T18:49:37.543813467,  26.446819,  87.638059,  10151, 7397,  10,   3,   0, 2024-05-19T18:49:37.543813467, 2024-05-19T18:49:38.251708269, 0.707895,  26.436408,  26.472727,  87.637808,  87.652156  
 1, 2024-05-19T18:49:41.161682129,  26.358151,  87.693232,   3473, 17648,   6,   1,   0, 2024-05-19T18:49:41.161682129, 2024-05-19T18:49:41.161682129, 0.000000,  26.358151,  26.358151,  87.693232,  87.693232  
 1, 2024-05-19T18:49:42.797667742,  26.501908,  87.685647,   3646, 9116,   6,   2,   0, 2024-05-19T18:49:42.797667742, 2024-05-19T18:49:42.897901297, 0.100234,  26.501908,  26.543236,  87.685647,  87.702146  
 1, 2024-05-19T18:49:43.396337509,  26.428464,  87.614480,  -2491, 7474,   5,   1,   0, 2024-05-19T18:49:43.396337509, 2024-05-19T18:49:43.396337509, 0.000000,  26.428464,  26.428464,  87.614480,  87.614480  
 1, 2024-05-19T18:49:44.266739607,  26.510612,  87.652706,  -6498, 18518,   9,   1,   0, 2024-05-19T18:49:44.266739607, 2024-05-19T18:49:44.266739607, 0.000000,  26.510612,  26.510612,  87.652706,  87.652706  
 1, 2024-05-19T18:49:47.688453197,  26.477260,  87.691524, -12525, 15761,   9,   2,   0, 2024-05-19T18:49:47.618787527, 2024-05-19T18:49:47.688453197, 0.069666,  26.475761,  26.477260,  87.677018,  87.691524  
 0, 2024-05-19T18:49:47.182572365,  26.568948,  87.420039, -11755,    0,   7,   0,   1, 2024-05-19T18:49:47.182572365, 2024-05-19T18:49:47.182572365, 0.000000,  26.568948,  26.568948,  87.420039,  87.420039  
 1, 2024-05-19T18:49:49.569129944,  26.508371,  87.647878,   9578, 4549,  10,   2,   0, 2024-05-19T18:49:49.036355972, 2024-05-19T18:49:49.569129944, 0.532774,  26.508371,  26.531554,  87.647878,  87.719736  
 0, 2024-05-19T18:49:50.605526686,  26.372372,  87.718069,  -5305,    0,   7,   1,   1, 2024-05-19T18:49:50.175325871, 2024-05-19T18:49:50.605526686, 0.430201,  26.333561,  26.372372,  87.651331,  87.718069  
 1, 2024-05-19T18:49:50.929082155,  26.366653,  88.031928,   4658, 10351,   6,   1,   0, 2024-05-19T18:49:50.929082155, 2024-05-19T18:49:50.929082155, 0.000000,  26.366653,  26.366653,  88.031928,  88.031928  
